time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
14.55,0.0229,0.0152,0.0258,0.0327,0.0614,0.0164,0.0442,0.0944
14.6,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0959
14.65,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
14.7,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0473,0.0959
14.75,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0975
14.8,0.0229,0.0167,0.0288,0.0342,0.0629,0.0179,0.0473,0.0959
14.85,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0975
14.9,0.0229,0.0167,0.0288,0.0327,0.0614,0.0179,0.0488,0.0959
14.95,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0959
15.0,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0959
15.05,0.0229,0.0167,0.0273,0.0342,0.0629,0.0164,0.0473,0.0975
15.1,0.0229,0.0152,0.0303,0.0342,0.0614,0.0164,0.0488,0.0975
15.15,0.0229,0.0167,0.0288,0.0342,0.0614,0.0179,0.0473,0.0959
15.2,0.0244,0.0167,0.0273,0.0342,0.0614,0.0164,0.0488,0.0975
15.25,0.0244,0.0167,0.0288,0.0342,0.0614,0.0179,0.0473,0.0975
15.3,0.0229,0.0167,0.0273,0.0327,0.0629,0.0179,0.0458,0.0959
15.35,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0975
15.4,0.0229,0.0167,0.0303,0.0373,0.0629,0.0164,0.0473,0.0975
15.45,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0458,0.0959
